Video ID,Start Time (s),End Time (s),Transcript
T_lMkzAHyGg,0.0,4.3," ਜਵ ਸੇ ਬਰਾਮਣੋ ਨੇ ਅਪਨਾ ਧਰਮ ਛੋਡ ਦੀਆ, ਹੀਂਦੂ ਧਰਮ ਕਾ ਹਰਾਸ ਹੋਡ ਦੇ ।"
T_lMkzAHyGg,4.3,6.8, ਕਾ ਧਰਮ ਛੋਡ ਦੀਆ? ਵੇਦ ਦੇਨ ਛੋਡ ਦੀਆ।
T_lMkzAHyGg,6.8,9.7, ਪਰ ਇਸ ਮੇ ਕੱਸੂਰ ਬਰਾਮਣੋ ਕਾ ਨੇ ਹੈ।
T_lMkzAHyGg,9.7,13.9, ਮਹਾ ਭਾਰਤ ਪੁ ਪਡੀਏ ਸ੍ਹਬ ਸੇ ਕਠੀਨ ਧਰਮ ਬਰਾਮਣ ਕਾ ਧਰਮ ਹੈ।
T_lMkzAHyGg,13.9,16.3, ਬਰਾਮਣ ਕਾ ਧਰਮ ਸ੍ਹਬ ਸੇ ਕਠੀਨ ਹੈ।
T_lMkzAHyGg,16.3,24.8, ਜੀਵਨ ਯਾਪਨ ਵੋ ਕੀਰਸੀ ਨੀ ਕਰ ਸਕਤਾ ਬਿਸਨੇਸ ਨੀ ਕਰ ਸਕਤਾ ਵੋ ਕੋਈ ਸੇਵਾ ਵਾਲੇ ਪੈਸਾ ਲੇਕੇ ਸੇਵਾ ਨੀ ਕਰ ਸਕਤਾ।
T_lMkzAHyGg,24.8,33.3, ਉਸਕਾ ਕਾਮ ਥਾ ਜਿਆਣ ਅਰ੍ਜਨ ਜਿਆਣ ਕਾ ਵਾਂਚਨਾ ਔਰ ਮਂਦਿਰ ਕੀ ਸੇਵਾ ਔਰ ਕਰਮ ਕਾਣ ।
T_lMkzAHyGg,33.3,39.3, ਸੋਲਾ ਸਨਸਕਾਰ ਹੋਤੇ ਅਮਾਰੇ ਜੀਵਨ ਮੇ ਜਨਮ ਸੇ ਲੇਕੇ ਕਿਰਿਆਕਰਮ ਦਕ ।
T_lMkzAHyGg,39.3,42.3, ਹਰ ਏਕ ਮੇ ਬਰੁਹਮਣ ਕੀ ਜੁਰੂਰਤ ਹੋਤੀ ਹੈ।
T_lMkzAHyGg,42.3,45.8, ਹਾਮ ਲੋਬ ਟੂਰੀਸਟ ਗਾਇਡ ਕੋ ਇਕ਼ਾਵਨ ਰੁਪੈ ਦੇ ਦੇਗੇ ।
T_lMkzAHyGg,45.8,48.3, ਜੂਠ ਬੋਲਨੇ ਕੇ ਲੀਏ ਗਲਤ ਬਾਤੇ ਬੁਤਾਯੇਗਾ।
T_lMkzAHyGg,48.3,51.3, ਪੰਡੀਤ ਗਰ ਕੈਗਾ ਦੀ ਮੈ ਮੰਦਰ ਦੀਖਾਉਂ ।
T_lMkzAHyGg,51.3,54.3, ਅਰੇ ਨੀ ਯੇ ਚੋਰ ਹੋਤੁ ।
